.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
@babel/plugin-proposal-private-methods	7.2.0	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						f20c6eafcf41d376a3ff2afe8d437cd49ef31a27	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.2.0.tgz	2018-12-03T19:02:38.960Z
@babel/plugin-proposal-private-methods	7.2.1	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						4aa1a765d63f366fd31a2f5176224ac5d3327078	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.2.1.tgz	2018-12-04T15:21:52.944Z
@babel/plugin-proposal-private-methods	7.2.3	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						aff0f5436df2c4365938c0309d551984e42c290c	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.2.3.tgz	2018-12-20T11:13:26.834Z
@babel/plugin-proposal-private-methods	7.3.0	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods				6.4.1	10.14.2	da373257a66525cb76544c37ab2ce4c611568841	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.3.0.tgz	2019-01-21T21:39:52.500Z
@babel/plugin-proposal-private-methods	7.3.2	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						a1878ed04fd06c4007761ce80cfdca8d76ac2a3f	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.3.2.tgz	2019-02-04T22:23:18.562Z
@babel/plugin-proposal-private-methods	7.3.4	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						2c5cca68fe73fc5821355dde48ac1b13622a95ba	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.3.4.tgz	2019-02-25T18:36:03.207Z
@babel/plugin-proposal-private-methods	7.4.0	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						7baebf9655dd6b5eb37533e5305704f4fbf6d458	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.4.0.tgz	2019-03-19T20:45:29.923Z
@babel/plugin-proposal-private-methods	7.4.3	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						0c49b51080f259722c944dfccb400ca1f9f71fec	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.4.3.tgz	2019-04-02T19:56:16.269Z
@babel/plugin-proposal-private-methods	7.4.4	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods						307b7db29d8ae2d259e7c0e6e665b1922d7ac856	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.4.4.tgz	2019-04-26T21:05:04.717Z
@babel/plugin-proposal-private-methods	7.6.0	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods				lerna/3.16.4/node@v11.14.0+x64 (linux)	11.14.0	19ddc493c7b5d47afdd4291e740c609a83c9fae4	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.6.0.tgz	2019-09-06T17:33:45.985Z
@babel/plugin-proposal-private-methods	7.7.4	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods				lerna/3.19.0/node@v13.1.0+x64 (linux)	13.1.0	2531e747064df7a2d9162eac47d713c7b26340b9	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.7.4.tgz	2019-11-22T23:33:58.204Z
@babel/plugin-proposal-private-methods	7.8.0	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods				lerna/3.19.0/node@v13.6.0+x64 (linux)	13.6.0	3fb776ecb562a25721122ec92833f136b55e21d8	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.8.0.tgz	2020-01-12T00:17:40.963Z
@babel/plugin-proposal-private-methods	7.8.3	This plugin transforms private class methods	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-proposal-private-methods				lerna/3.19.0/node@v13.6.0+x64 (linux)	13.6.0	01248c6c8dc292116b3b4ebd746150f4f0728bab	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.8.3.tgz	2020-01-13T21:42:38.875Z
@babel/plugin-proposal-private-methods	7.10.1	This plugin transforms private class methods	MIT	git+https://github.com/babel/babel.git				lerna/3.19.0/node@v12.16.3+x64 (linux)	12.16.3	ed85e8058ab0fe309c3f448e5e1b73ca89cdb598	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.10.1.tgz	2020-05-27T22:08:34.345Z
@babel/plugin-proposal-private-methods	7.10.4	This plugin transforms private class methods	MIT	git+https://github.com/babel/babel.git				lerna/3.19.0/node@v14.4.0+x64 (darwin)	14.4.0	b160d972b8fdba5c7d111a145fc8c421fc2a6909	https://registry.npmjs.org/@babel/plugin-proposal-private-methods/-/plugin-proposal-private-methods-7.10.4.tgz	2020-06-30T13:13:33.039Z
