.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
@babel/plugin-syntax-optional-chaining	7.0.0-beta.4	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.1.4	5a6d0aa443f679f25cc0fa4f44256155c25e398f	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.4.tgz	2017-10-30T18:34:25.485Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.5	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.1.4	1f378c29bcf73fc1d8392a85d686f06b1889c366	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.5.tgz	2017-10-30T20:56:07.509Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.31	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.1.4	cd28c5ffc45fc95c39a6f45a9c490b6067e8d0c8	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.31.tgz	2017-11-03T20:03:18.158Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.32	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.9.1	766b7578e582f366a8c6e7a9e84da760f48cb30c	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.32.tgz	2017-11-12T13:33:06.986Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.33	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.9.1	6986c958276e7e2dde570a9dca118cec8e0d3404	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.33.tgz	2017-12-01T14:28:10.311Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.34	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.9.1	9fab733887cf2c8e4edc2218ffcdca6a2ab843f2	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.34.tgz	2017-12-02T14:39:10.444Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.35	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.9.1	24b0ec03f41faaf4081fdcbafc4fdb20f54a9d5f	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.35.tgz	2017-12-14T21:47:39.137Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.36	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.9.1	c1f7704684f05e4b728c1aaa45f44dd344af71a7	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.36.tgz	2017-12-25T19:04:27.776Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.37	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.9.1	66a3ee225977423b01719ac5404d7fae84b4104e	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.37.tgz	2018-01-08T16:02:24.841Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.38	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.5.1	8.9.1	70d26cd1f4a2645984ffdce967c17a342f3286b2	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.38.tgz	2018-01-17T16:31:46.309Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.39	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.9.1	28c593e8921000c3f8ed749cdcab55b08824f988	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.39.tgz	2018-01-30T20:27:28.753Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.40	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.9.1	0a2628511e8f7f35666f5977fb07e1a8d1d363eb	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.40.tgz	2018-02-12T16:41:26.812Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.41	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.10.0	4db9b5c84140dfb8bfcbe6ec744161cd5d2ae465	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.41.tgz	2018-03-14T16:25:58.551Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.42	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.10.0	2c4e2ffc276e8e22577c68cea6a8ca472c147802	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.42.tgz	2018-03-15T20:50:35.149Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.43	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.10.0	3c806300785c5938884c3db12a5eebfa7ddebe72	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.43.tgz	2018-04-02T16:48:19.107Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.44	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.10.0	3e41156dc1cc94b1b6cc21cfb96e50dda4ad9986	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.44.tgz	2018-04-02T22:20:01.243Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.45	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.10.0	a5310569f36b64a70132115ed6afc5633459259e	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.45.tgz	2018-04-23T01:56:27.556Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.46	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	9.4.0	77c51b180a9895d701b398441d94815c56946a75	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.46.tgz	2018-04-23T04:30:53.268Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.47	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.10.0	f1febe859d9dde26f2b2e1f20cf679925d1fab23	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.47.tgz	2018-05-15T00:08:32.757Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.48	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				5.6.0	8.10.0	a1460e57201f8ed1444e62a854bf1f5b2a236178	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.48.tgz	2018-05-24T19:21:56.444Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.49	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				3.10.10	6.12.3	007b5e7ef639b96d58e763bb5c8da1449844b976	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.49.tgz	2018-05-25T16:01:37.347Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.50	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						4d8fd9758cbff8628f3055f13be23e00ee6eb2d2	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.50.tgz	2018-06-12T19:47:11.628Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.51	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						51022b28dd19bd5e4e33196e1f1124cfcd2d4b6c	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.51.tgz	2018-06-12T21:19:42.356Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.52	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						75a69988519ac6c6b2f699e7dd9fa5c3619e46c6	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.52.tgz	2018-07-06T00:59:21.466Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.53	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						c061c833ba1cde9bed09d6207269cbd53cc7e05c	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.53.tgz	2018-07-11T13:40:11.366Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.54	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						40dc10c00d9acd523c6ac1f9332652b1e5af4f20	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.54.tgz	2018-07-16T18:00:02.252Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.55	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						8e6027315419617dd50b7cbbba917d516cd66772	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.55.tgz	2018-07-28T22:07:08.615Z
@babel/plugin-syntax-optional-chaining	7.0.0-beta.56	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						233eaff8ea1b2d57dcdb5e66ffc7b133734c1e9b	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-beta.56.tgz	2018-08-04T01:04:52.093Z
@babel/plugin-syntax-optional-chaining	7.0.0-rc.0	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						f7a124258bc79b016000279794f88d2ea06a657d	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-rc.0.tgz	2018-08-09T15:57:51.797Z
@babel/plugin-syntax-optional-chaining	7.0.0-rc.1	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						897d7896dd106dbc84f222766f9cab0a7ae5fc35	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-rc.1.tgz	2018-08-09T20:07:36.263Z
@babel/plugin-syntax-optional-chaining	7.0.0-rc.2	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						bf8cba58f2a7b1a93fda8120a4d2d6d99be3152e	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-rc.2.tgz	2018-08-21T19:23:32.452Z
@babel/plugin-syntax-optional-chaining	7.0.0-rc.3	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						7b58819dc26830444ea0adf082d80516a6b9e71c	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-rc.3.tgz	2018-08-24T18:07:28.169Z
@babel/plugin-syntax-optional-chaining	7.0.0-rc.4	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						923c4fc95903ce495aed392238b66c29ec0496b0	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0-rc.4.tgz	2018-08-27T16:43:45.439Z
@babel/plugin-syntax-optional-chaining	7.0.0	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						1e6ecba124310b5d3a8fc1e00d50b1c4c2e05e68	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.0.0.tgz	2018-08-27T21:42:49.240Z
@babel/plugin-syntax-optional-chaining	7.2.0	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining						a59d6ae8c167e7608eaa443fda9fa8fa6bf21dff	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.2.0.tgz	2018-12-03T19:01:07.243Z
@babel/plugin-syntax-optional-chaining	7.7.4	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				lerna/3.19.0/node@v13.1.0+x64 (linux)	13.1.0	c91fdde6de85d2eb8906daea7b21944c3610c901	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.7.4.tgz	2019-11-22T23:31:59.260Z
@babel/plugin-syntax-optional-chaining	7.8.0	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				lerna/3.19.0/node@v13.6.0+x64 (linux)	13.6.0	c40f4d4d6a4f5e71d2bfd949b0a7f1e1e6792fe0	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.8.0.tgz	2020-01-12T00:16:24.240Z
@babel/plugin-syntax-optional-chaining	7.8.3	Allow parsing of optional properties	MIT	https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-optional-chaining				6.13.4	13.6.0	4f69c2ab95167e0180cd5336613f8c5788f7d48a	https://registry.npmjs.org/@babel/plugin-syntax-optional-chaining/-/plugin-syntax-optional-chaining-7.8.3.tgz	2020-01-13T21:14:43.325Z
