.name	.version	.description	.license	.repository.url	.author.name	.author.email	.author.url	._npmVersion	._nodeVersion	.dist.shasum	.dist.tarball	time
eslint-scope	3.7.0	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				2.14.12	4.3.1	d95536f4081dee922e5fd60ed6795748ca54bb76	https://registry.npmjs.org/eslint-scope/-/eslint-scope-3.7.0.tgz	2017-03-17T22:10:11.109Z
eslint-scope	3.7.1	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				2.14.12	4.3.1	3d63c3edfda02e06e01a452ad88caacc7cdcb6e8	https://registry.npmjs.org/eslint-scope/-/eslint-scope-3.7.1.tgz	2017-04-12T21:13:31.158Z
eslint-scope	4.0.0-alpha.0	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				5.5.1	8.9.3	56d64aa6db13023373e3ad70b5c6cf40c8fe40b9	https://registry.npmjs.org/eslint-scope/-/eslint-scope-4.0.0-alpha.0.tgz	2018-04-28T01:47:18.036Z
eslint-scope	4.0.0-rc.0	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				5.5.1	8.9.3	90b7e7ed231c13956c3cb9cc018e96156e8cc6c6	https://registry.npmjs.org/eslint-scope/-/eslint-scope-4.0.0-rc.0.tgz	2018-06-09T15:59:17.350Z
eslint-scope	4.0.0	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				5.5.1	8.9.3	50bf3071e9338bcdc43331794a0cb533f0136172	https://registry.npmjs.org/eslint-scope/-/eslint-scope-4.0.0.tgz	2018-06-21T20:41:41.408Z
eslint-scope	3.7.3	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				5.6.0	8.11.3	bb507200d3d17f60247636160b4826284b108535	https://registry.npmjs.org/eslint-scope/-/eslint-scope-3.7.3.tgz	2018-07-12T17:41:22.504Z
eslint-scope	4.0.1	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				6.4.1	10.15.2	dc3e21b1129fe4f61509a025db075fe7ba3abdba	https://registry.npmjs.org/eslint-scope/-/eslint-scope-4.0.1.tgz	2019-03-02T01:13:18.998Z
eslint-scope	4.0.2	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				6.4.1	10.15.2	5f10cd6cabb1965bf479fa65745673439e21cb0e	https://registry.npmjs.org/eslint-scope/-/eslint-scope-4.0.2.tgz	2019-03-02T01:32:02.514Z
eslint-scope	4.0.3	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				6.4.1	10.15.2	ca03833310f6889a3264781aa82e63eb9cfe7848	https://registry.npmjs.org/eslint-scope/-/eslint-scope-4.0.3.tgz	2019-03-15T17:11:54.620Z
eslint-scope	5.0.0	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				6.4.1	10.15.2	e87c8887c73e8d1ec84f1ca591645c358bfc8fb9	https://registry.npmjs.org/eslint-scope/-/eslint-scope-5.0.0.tgz	2019-07-21T03:21:14.967Z
eslint-scope	5.1.0	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				6.14.4	12.16.3	d0f971dfe59c69e0cada684b23d49dbf82600ce5	https://registry.npmjs.org/eslint-scope/-/eslint-scope-5.1.0.tgz	2020-06-04T11:24:47.993Z
eslint-scope	5.1.1	ECMAScript scope analyzer for ESLint	BSD-2-Clause	git+https://github.com/eslint/eslint-scope.git				6.14.6	12.18.3	e786e59a66cb92b3f6c1fb0d508aab174848f48c	https://registry.npmjs.org/eslint-scope/-/eslint-scope-5.1.1.tgz	2020-09-12T18:29:01.228Z
